pr_number,additions,author_account_age_days,author_followers,author_following,author_prior_avg_pr_size,author_prior_bug_rate,author_prior_buggy_prs,author_prior_prs_in_project,author_public_repos,author_total_gists,author_total_repos,deletions,description_length,description_unique_words,description_word_count,files_added,files_deleted,files_modified,files_renamed,linked_issue_age_days,linked_issue_comments_count,linked_issue_components_count,linked_issue_description_length,linked_issue_description_unique_words,linked_issue_description_word_count,linked_issue_readability_cli,linked_issue_severity_score,linked_issue_subtasks_count,linked_issue_technical_keyword_count,linked_issue_title_length,linked_issue_title_unique_words,linked_issue_title_word_count,linked_issue_total_interactions,num_commits,pr_lifespan_days,readability_cli,src_churn,src_files_count,technical_keyword_count,test_churn,test_files_count,test_to_src_ratio,title_length,title_unique_words,title_word_count,total_churn,author_is_core_contributor,author_is_first_pr,author_is_frequent_contributor,bug_fix,has_checklist,has_code_blocks,has_config_files,has_doc_files,has_exception_keywords,has_linked_issue,has_log_keywords,has_stack_trace,has_urls,has_version_numbers,linked_issue_has_data_loss_keywords,linked_issue_has_error_keywords,linked_issue_has_exception_keywords,linked_issue_has_log_keywords,linked_issue_has_performance_keywords,linked_issue_has_security_keywords,linked_issue_has_stack_trace,linked_issue_has_urls,linked_issue_is_bug,linked_issue_is_enhancement,linked_issue_is_improvement,linked_issue_is_task,pr_was_merged_quickly,test_inclusion,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,bug,security,performance,code_quality_or_maintenability
10935,124,4422,7,6,0.0,0.0,0,0,89,3,89,5,2273,115,231,0,0,4,0,1612,2,1,1758,109,218,12.0,0.3,0,4,76,9,10,2,5,14.26,12.0,2,1,4,127,3,63.5,91,12,13,129,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0.0,0.0,1.6695071,0.4460543,1.1703893,0.0,0.9277318,1.4785311,0.0,0.0,1.0760344,0.35234687,0.0,0.0,1.3145596,0.0,0.7248413,2.8391848,0.0,0.0,0.6626618,1.1484396,0.0,1.3146194,0.0,1.4954358,1.9463127,0.0,1.1173464,0.0,1.103191,0.57396966,1.4019544,1.0850054,0.0,0.718143,0.0,0.0,0.0,0.0,1,0,0,1
5865,441,5265,22,1,957.0,1.0,2,2,40,11,40,0,324,35,40,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,9,34.25,12.0,181,1,1,260,1,1.436,63,8,8,441,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1286823,2.965371,0.97100174,0.0,1.7344412,1.5001255,0.0,0.0,0.8823594,1.0623324,0.0,0.0,1.0960072,0.0,1.3068862,1.5599785,0.0,0.0,1.2865454,1.3639939,0.0,1.4798169,0.0,1.874863,1.3314359,0.0,0.4546486,0.0,0.9708368,1.7546679,1.8602331,1.9967277,0.0,2.1800265,0.0,0.0,0.0,0.0,1,0,0,0
10565,29,3529,10,1,306.7,0.8,16,20,19,0,19,2,324,40,47,0,0,2,0,1681,0,1,202,24,32,12.0,0.0,0,0,59,5,5,0,5,2.14,12.0,12,1,1,19,1,1.583,57,9,9,31,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,1.3962525,2.6427488,1.4872332,0.0,1.7637509,1.477291,0.0,0.0,0.9363893,0.80291885,0.0,0.0,1.2114501,0.0,1.12257,1.6566534,0.0,0.0,0.8088894,1.1061299,0.0,1.1428579,0.0,1.8319329,0.7164667,0.0,0.37922978,0.0,0.9045259,1.3598882,2.0783246,2.000779,0.0,2.0149822,0.0,0.0,0.0,0.0,1,0,0,0
14147,893,3477,0,0,713.6,0.258,8,31,5,0,5,18,279,35,39,0,0,9,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,6,40.38,12.0,225,7,2,686,2,3.049,66,7,7,911,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1945301,2.8443904,1.5811648,0.0,1.6972573,1.8328936,0.0,0.0,0.8579167,1.0158472,0.0,0.0,1.2784827,0.0,0.876167,1.9487721,0.0,0.0,0.578581,0.5833527,0.0,1.3407931,0.0,1.1258254,1.318001,0.0,0.942018,0.0,0.7785687,1.3772362,2.032869,2.293839,0.0,1.5732034,0.0,0.0,0.0,0.0,1,0,0,1
11637,190,5169,101,0,519.2,0.461,70,152,58,6,58,92,0,0,0,0,0,7,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,4.14,12.0,0,0,0,282,7,0.0,42,5,5,282,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.4892987,3.0464964,0.58016527,0.0,1.5065126,0.8818602,0.0,0.0,0.4130016,0.8168265,0.0,0.0,1.3199052,0.0,2.0655203,2.5126038,0.0,0.0,0.83100855,0.17812932,0.0,1.62622,0.0,1.252987,1.0813813,0.0,0.63899815,0.0,0.94721454,1.7334745,2.1698554,2.31541,0.0,1.020167,0.0,0.0,0.0,0.0,1,0,0,1
5990,37,4192,23,0,17.0,0.0,0,1,21,0,21,13,427,47,62,0,0,3,0,2550,3,1,1149,36,51,12.0,0.3,0,3,87,8,8,3,6,52.78,12.0,18,2,2,32,1,1.778,60,5,5,50,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0.0,0.0,1.5360082,1.8813227,0.97607225,0.0,1.1831594,1.0385125,0.0,0.0,0.26342607,1.0370187,0.0,0.0,1.2394674,0.0,1.3496916,2.6315615,0.0,0.0,1.0054724,1.3975325,0.0,1.475345,0.0,1.243451,0.8998874,0.0,0.6895629,0.0,0.8279377,1.017994,1.1950333,1.6317574,0.0,1.150557,0.0,0.0,0.0,0.0,1,0,0,0
11356,84,4365,142,439,560.9,0.45,9,20,144,17,144,66,280,35,40,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,25.12,12.0,147,3,2,3,1,0.02,50,7,7,150,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.1445367,4.0584626,0.6573367,0.0,1.9416436,2.3633435,0.0,0.0,0.3174637,0.8410812,0.0,0.0,1.3010739,0.0,0.6649949,1.2557732,0.0,0.0,1.367592,0.7858513,0.0,1.76271,0.0,0.90756786,1.2875375,0.0,1.5351913,0.0,0.9882492,1.1715018,1.420594,1.5077232,0.0,2.2108612,0.0,0.0,0.0,0.0,1,0,0,0
7325,3139,5169,101,0,363.8,0.339,19,56,58,6,58,885,0,0,0,5,0,95,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,19,25.27,12.0,1278,100,1,0,0,0.0,68,9,9,4024,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.287095,3.1027246,0.6190394,0.0,1.4710219,0.90704876,0.0,0.0,0.75660574,0.88792723,0.0,0.0,1.3948635,0.0,2.2608182,2.2355428,0.0,0.0,0.9221132,0.57245284,0.0,1.6736268,0.0,1.2437732,1.0687308,0.0,0.88194346,0.0,0.9552879,1.6549608,2.4659393,2.3885348,0.0,0.59476185,0.0,0.0,0.0,0.0,1,0,0,1
8657,257,4358,219,5,40.3,0.237,9,38,51,0,51,176,46670,491,1825,1,0,11,0,2394,14,1,9713,324,801,12.0,1.0,0,10,31,3,3,16,17,120.18,12.0,257,8,10,176,4,0.685,70,11,11,433,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0.0,0.0,1.4351478,2.2151508,1.5952249,0.0,1.9435598,1.0772618,0.0,0.0,0.690195,0.27312133,0.0,0.0,1.2562529,0.0,1.1782998,2.49285,0.0,0.0,0.702309,0.6754914,0.0,1.2125907,0.0,1.4733083,1.09581,0.0,0.71882635,0.0,1.3468074,1.1475149,0.80319566,1.7485847,0.0,1.0183638,0.0,0.0,0.0,0.0,1,0,0,0
4518,200,4076,304,81,253.4,0.267,4,15,10,5,10,155,0,0,0,0,0,11,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,4,5.92,12.0,222,7,0,133,4,0.599,60,8,8,355,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.0619757,4.538525,0.0,0.0,1.4612763,2.0305934,0.0,0.0,0.24889702,0.6441693,0.0,0.0,1.3085625,0.0,2.060236,1.6642251,0.0,0.0,1.6820345,0.47363812,0.0,1.8736488,0.0,1.0041702,0.96535,0.0,1.188197,0.0,1.0679582,1.1222936,1.7953999,1.3166217,0.0,1.4818114,0.0,0.0,0.0,0.0,1,0,1,1
