pr_number,additions,author_account_age_days,author_avg_pr_size,author_followers,author_following,author_public_repos,author_total_buggy_prs,author_total_gists,author_total_prs_in_project,author_total_repos,deletions,description_length,description_unique_words,description_word_count,files_added,files_deleted,files_modified,files_renamed,linked_issue_age_days,linked_issue_comments_count,linked_issue_components_count,linked_issue_description_length,linked_issue_description_unique_words,linked_issue_description_word_count,linked_issue_readability_cli,linked_issue_severity_score,linked_issue_subtasks_count,linked_issue_technical_keyword_count,linked_issue_title_length,linked_issue_title_unique_words,linked_issue_title_word_count,linked_issue_total_interactions,num_commits,pr_lifespan_days,readability_cli,src_churn,src_files_count,technical_keyword_count,test_churn,test_files_count,test_to_src_ratio,title_length,title_unique_words,title_word_count,total_churn,author_is_core_contributor,author_is_frequent_contributor,bug_fix,has_checklist,has_code_blocks,has_config_files,has_doc_files,has_exception_keywords,has_linked_issue,has_log_keywords,has_merge_conflicts,has_screenshots,has_stack_trace,has_urls,has_version_numbers,linked_issue_has_data_loss_keywords,linked_issue_has_error_keywords,linked_issue_has_exception_keywords,linked_issue_has_log_keywords,linked_issue_has_performance_keywords,linked_issue_has_security_keywords,linked_issue_has_stack_trace,linked_issue_has_urls,linked_issue_is_bug,linked_issue_is_enhancement,linked_issue_is_improvement,linked_issue_is_task,pr_was_merged_quickly,test_inclusion,linked_issue_priority,linked_issue_resolution,linked_issue_status,linked_issue_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
14430,25,6281,0,428,3,42,109,12,815,42,26,551,56,76,0,0,12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.89,12.0,22,7,1,29,5,1.318,30,5,5,51,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0.0,0.0,0.0,1.0207542,1.1554146,1.6397026,0.0,0.0,0.0,1.0154376,0.9758561,0.0,0.0,0.8930591,1.7832537,0.0,0.82615995,0.0,0.0,1.6333095,1.4318516,0.0,0.0,2.2505383,0.0,0.0,0.7236911,0.8688539,1.9748596,0.0,0.9884936,0.0,0.0,0.0,0.0,0.0,0.0,1.4683903,0.83023995,0.0
13365,32,3559,0,22,0,14,9,0,38,14,9,964,81,129,0,0,6,0,1078,0,0,623,60,84,12.0,0.0,0,2,53,7,7,0,1,12.3,12.0,39,5,1,2,1,0.051,51,6,6,41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,Major,Fixed,Resolved,Improvement,0.0,0.0,0.0,0.7359841,1.6464669,1.7202393,0.0,0.0,0.0,1.0251653,1.5173055,0.0,0.0,1.3054034,1.0665165,0.0,1.3739507,0.0,0.0,2.4239614,1.5230494,0.0,0.0,0.84171283,0.0,0.0,0.60408884,1.6217136,1.4927188,0.0,0.19487676,0.0,0.0,0.0,0.0,0.0,0.0,1.1969156,0.7660867,0.0
7335,5,5846,0,83,31,29,85,1,463,29,12,600,71,89,0,0,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.51,12.0,2,1,0,15,4,7.5,27,4,4,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0.0,0.0,0.0,1.960329,1.3473926,1.419878,0.0,0.0,0.0,1.3457366,0.9985727,0.0,0.0,0.433474,2.1710663,0.0,0.5599275,0.0,0.0,1.5163113,1.4581729,0.0,0.0,1.7637787,0.0,0.0,1.2453176,1.2582004,1.3995752,0.0,1.3309828,0.0,0.0,0.0,0.0,0.0,0.0,0.7752697,1.1659226,0.0
12466,471,3956,0,421,4,20,128,2,504,20,196,444,52,65,0,0,11,0,1980,0,1,701,72,115,12.0,0.5,0,4,48,5,6,0,6,14.4,12.0,407,6,4,260,5,0.639,65,9,9,667,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,Major,Fixed,Resolved,Improvement,0.0,0.0,0.0,0.6693954,1.4292074,1.7805463,0.0,0.0,0.0,1.5654136,1.4469012,0.0,0.0,1.279184,1.3319823,0.0,1.203477,0.0,0.0,1.8038892,1.6348305,0.0,0.0,1.1960943,0.0,0.0,0.5034098,0.97728705,1.4655484,0.0,0.6524142,0.0,0.0,0.0,0.0,0.0,0.0,1.4203343,0.47554207,0.0
11774,158,4103,0,50,3,23,51,4,200,23,0,510,61,77,0,0,3,0,2022,8,1,834,74,114,12.0,0.0,0,3,53,8,8,8,1,6.43,12.0,87,2,1,71,1,0.816,50,5,5,158,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,Blocker,Done,Resolved,New Feature,0.0,0.0,0.0,0.87492394,0.6982164,1.0943865,0.0,0.0,0.0,1.5039501,1.2817556,0.0,0.0,1.6783023,1.5542945,0.0,1.5321287,0.0,0.0,2.1421463,1.5876639,0.0,0.0,1.0676699,0.0,0.0,0.9111863,2.056005,1.750595,0.0,0.49250662,0.0,0.0,0.0,0.0,0.0,0.0,1.0181842,1.3861305,0.0
4466,246,3799,0,85,0,14,112,0,381,14,56,240,29,32,0,0,12,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,3.82,12.0,158,7,1,144,5,0.911,51,7,7,302,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0.0,0.0,0.0,0.991197,1.0848163,1.4176381,0.0,0.0,0.0,0.69926065,1.2033309,0.0,0.0,0.5006813,2.0548651,0.0,0.83889824,0.0,0.0,2.4402683,1.4869474,0.0,0.0,1.0427451,0.0,0.0,0.6572613,1.0021869,1.9283687,0.0,0.7266215,0.0,0.0,0.0,0.0,0.0,0.0,2.016527,0.9457261,0.0
12968,14,3215,0,16,0,3,35,1,149,3,4,324,36,42,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,10.9,12.0,5,1,2,13,1,2.6,139,16,17,18,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0.0,0.0,0.0,1.0226256,0.8597821,1.5335689,0.0,0.0,0.0,1.1089221,1.3974231,0.0,0.0,1.219074,1.7278842,0.0,0.613045,0.0,0.0,2.075487,1.13712,0.0,0.0,1.4291298,0.0,0.0,0.573957,1.2793914,1.8467026,0.0,1.3181559,0.0,0.0,0.0,0.0,0.0,0.0,1.7181386,0.782894,0.0
6854,409,4405,0,39,8,163,77,0,181,163,303,229,26,30,1,0,16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,6,16.92,12.0,442,10,1,270,7,0.611,39,4,4,712,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0.0,0.0,0.0,1.2275344,0.741193,1.3942299,0.0,0.0,0.0,0.8091637,1.2298018,0.0,0.0,0.94216293,1.7068609,0.0,1.2647054,0.0,0.0,1.5641257,1.6403903,0.0,0.0,0.6053331,0.0,0.0,0.4209586,1.437777,2.1226048,0.0,0.83768976,0.0,0.0,0.0,0.0,0.0,0.0,1.5267832,0.46155775,0.0
10079,49,3196,0,80,53,182,29,1,181,182,39,344,36,42,0,0,16,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,1.03,12.0,30,10,0,58,6,1.933,60,6,6,88,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0.0,0.0,0.0,1.47242,0.7350244,1.2443042,0.0,0.0,0.0,1.5821018,2.0384448,0.0,0.0,0.937452,1.6432648,0.0,0.96005887,0.0,0.0,0.7276527,1.2216926,0.0,0.0,1.6433461,0.0,0.0,0.91884375,0.4880662,1.2548603,0.0,0.7110746,0.0,0.0,0.0,0.0,0.0,0.0,1.8533607,0.4507221,0.0
8048,45,3420,0,7,0,1,6,0,13,1,3,974,85,140,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,2.0,12.0,0,0,3,48,1,0.0,79,5,5,48,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0.0,0.0,0.0,0.66999966,1.8797656,1.6373861,0.0,0.0,0.0,0.96664506,1.4414331,0.0,0.0,0.85681516,1.5087948,0.0,1.8076907,0.0,0.0,2.0018113,1.4158239,0.0,0.0,1.2433851,0.0,0.0,0.73220915,1.7306526,1.7693712,0.0,0.95595664,0.0,0.0,0.0,0.0,0.0,0.0,0.7858699,0.8287361,0.0
