pr_number,additions,author_account_age_days,author_avg_pr_size,author_followers,author_following,author_public_repos,author_total_buggy_prs,author_total_gists,author_total_prs_in_project,author_total_repos,deletions,description_length,description_unique_words,description_word_count,files_added,files_deleted,files_modified,files_renamed,linked_issue_age_days,linked_issue_comments_count,linked_issue_components_count,linked_issue_description_length,linked_issue_description_unique_words,linked_issue_description_word_count,linked_issue_readability_cli,linked_issue_severity_score,linked_issue_subtasks_count,linked_issue_technical_keyword_count,linked_issue_title_length,linked_issue_title_unique_words,linked_issue_title_word_count,linked_issue_total_interactions,num_commits,pr_lifespan_days,readability_cli,src_churn,src_files_count,technical_keyword_count,test_churn,test_files_count,test_to_src_ratio,title_length,title_unique_words,title_word_count,total_churn,author_is_core_contributor,author_is_frequent_contributor,bug_fix,has_checklist,has_code_blocks,has_config_files,has_doc_files,has_exception_keywords,has_linked_issue,has_log_keywords,has_merge_conflicts,has_screenshots,has_stack_trace,has_urls,has_version_numbers,linked_issue_has_data_loss_keywords,linked_issue_has_error_keywords,linked_issue_has_exception_keywords,linked_issue_has_log_keywords,linked_issue_has_performance_keywords,linked_issue_has_security_keywords,linked_issue_has_stack_trace,linked_issue_has_urls,linked_issue_is_bug,linked_issue_is_enhancement,linked_issue_is_improvement,linked_issue_is_task,pr_was_merged_quickly,test_inclusion,linked_issue_priority,linked_issue_resolution,linked_issue_status,linked_issue_type,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,bug,security,performance,code_quality_or_maintenability,non_risky
12564,21,3216,0,16,0,3,35,1,149,3,21,293,37,44,0,0,15,0,1224,0,0,412,44,46,12.0,0.2,0,4,46,6,6,0,1,0.32,12.0,2,1,1,40,14,20.0,32,4,4,42,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,Major,Fixed,Resolved,Improvement,0.0,0.0,0.0,1.3596494,1.2190849,2.360934,0.0,0.0,0.0,1.0598221,1.2766429,0.0,0.0,1.2912571,1.4351707,0.0,0.84661555,0.0,0.0,1.957457,0.946677,0.0,0.0,1.7560308,0.0,0.0,1.6344303,0.39597416,1.2908667,0.0,0.90903944,0.0,0.0,0.0,0.0,0.0,0.0,1.8204379,1.0318775,0.0,0,0,0,0,1
9551,1140,5770,0,300,8,76,39,21,280,76,1203,657,73,103,2,1,10,0,1848,1,1,214,23,37,10.71404255319149,0.0,0,1,53,9,10,1,2,0.06,12.0,2343,13,1,0,0,0.0,60,8,8,2343,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Major,Fixed,Resolved,Bug,0.0,0.0,0.0,1.0622606,1.0093331,1.9458671,0.0,0.0,0.0,1.165058,0.87238556,0.0,0.0,1.1373492,1.9928231,0.0,1.255287,0.0,0.0,1.2968255,1.6165502,0.0,0.0,2.002071,0.0,0.0,0.7432538,1.0017948,2.1324751,0.0,0.36455438,0.0,0.0,0.0,0.0,0.0,0.0,1.0602314,1.3666602,0.0,1,0,0,0,0
6616,1200,5287,0,49,0,48,109,5,298,48,118,627,68,80,1,0,11,0,2489,52,1,1732,113,152,12.0,0.3,0,2,81,14,14,52,1,1.12,12.0,363,5,2,955,7,2.631,50,6,6,1318,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,Blocker,Fixed,Resolved,Bug,0.0,0.0,0.0,1.3191127,1.0173056,1.649616,0.0,0.0,0.0,1.0227498,1.5015563,0.0,0.0,1.408942,1.2857667,0.0,1.3031837,0.0,0.0,1.3425632,1.0734154,0.0,0.0,1.7861748,0.0,0.0,0.4585336,0.9662473,1.5609605,0.0,0.939077,0.0,0.0,0.0,0.0,0.0,0.0,1.7561932,0.82145834,0.0,0,0,0,0,1
9115,8,6040,0,150,9,70,14,61,105,70,8,89,15,19,0,0,8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,1.15,1.0,16,8,0,0,0,0.0,34,5,5,16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.27490836,1.4458673,2.1564534,0.0,0.0,0.0,1.4910507,0.18848625,0.0,0.0,2.0083585,1.500629,0.0,1.3142556,0.0,0.0,1.241767,1.2923962,0.0,0.0,2.0649319,0.0,0.0,1.5500603,1.1341012,1.592105,0.0,1.089388,0.0,0.0,0.0,0.0,0.0,0.0,1.0942594,0.79720974,0.0,0,0,0,0,1
10582,7,4536,0,89,0,12,114,1,327,12,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.01,1.0,13,4,0,0,0,0.0,39,7,7,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0.0,0.0,0.0,1.1398968,0.3871321,2.3312395,0.0,0.0,0.0,0.67457575,0.0611392,0.0,0.0,2.3812711,2.2370453,0.0,0.8472771,0.0,0.0,1.5896724,0.5394139,0.0,0.0,1.9059329,0.0,0.0,1.3511133,0.7222682,1.893203,0.0,0.7132087,0.0,0.0,0.0,0.0,0.0,0.0,1.7022045,1.1496781,0.0,0,0,0,0,1
14685,915,2639,0,3,1,4,2,1,14,4,54,771,82,107,0,0,19,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,9,0.33,12.0,312,11,3,657,8,2.106,67,8,8,969,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0.0,0.0,0.0,1.0736235,1.1569595,1.3272392,0.0,0.0,0.0,1.404586,1.0244753,0.0,0.0,1.1722245,1.4935654,0.0,1.3973209,0.0,0.0,2.149246,1.8496633,0.0,0.0,1.3173597,0.0,0.0,0.17010882,1.2310098,1.6928412,0.0,1.1171868,0.0,0.0,0.0,0.0,0.0,0.0,0.8688056,0.73498446,0.0,0,0,1,0,0
5137,122,3799,0,85,0,14,112,0,381,14,122,175,19,22,0,0,23,45,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1,0.46,12.0,158,44,0,86,24,0.544,63,8,8,244,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,,,0.0,0.0,0.0,1.8594931,1.6836809,0.9549718,0.0,0.0,0.0,1.0372297,1.48545,0.0,0.0,1.0250599,1.1016005,0.0,1.3227178,0.0,0.0,1.0711519,0.7799829,0.0,0.0,1.6592861,0.0,0.0,1.8187563,0.15419659,0.4389659,0.0,1.2389225,0.0,0.0,0.0,0.0,0.0,0.0,1.4413285,0.0,0.0,0,0,0,0,1
14486,14,3297,0,22,0,40,14,0,71,40,14,1396,165,192,0,0,1,0,929,23,0,2081,164,303,12.0,0.0,0,4,39,4,4,23,1,0.13,12.0,28,1,2,0,0,0.0,39,6,6,28,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,Minor,Resolved,Closed,Improvement,0.0,0.0,0.0,1.5165137,0.23161858,1.5558197,0.0,0.0,0.0,0.6361221,1.0638918,0.0,0.0,1.4630378,1.3254895,0.0,1.4913164,0.0,0.0,1.4593537,1.1145685,0.0,0.0,2.6116962,0.0,0.0,1.589129,0.8835178,1.5760952,0.0,1.6410573,0.0,0.0,0.0,0.0,0.0,0.0,0.9901221,1.6183728,0.0,0,0,0,0,1
4403,5611,3894,0,12,1,18,0,2,26,18,3066,48,7,7,10,1,6,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0.8,12.0,8677,17,0,0,0,0.0,60,9,9,8677,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0.0,0.0,0.0,1.1789535,0.4885127,2.0416381,0.0,0.0,0.0,0.82151634,0.77092737,0.0,0.0,2.1158586,1.3580353,0.0,1.2380091,0.0,0.0,1.6051077,1.208353,0.0,0.0,1.0795152,0.0,0.0,1.1797049,0.8948137,2.0244765,0.0,0.3843296,0.0,0.0,0.0,0.0,0.0,0.0,1.7477312,1.3022677,0.0,0,0,0,0,1
11756,180,5254,0,79,4,68,49,2,312,68,245,175,19,22,0,0,76,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,2.19,12.0,219,48,0,206,28,0.941,40,5,5,425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0.0,0.0,0.0,1.3299148,1.2263495,1.4942977,0.0,0.0,0.0,1.2613056,1.4907798,0.0,0.0,0.95435077,1.3888984,0.0,0.6486084,0.0,0.0,1.3270391,1.2832192,0.0,0.0,1.2839582,0.0,0.0,0.41312775,0.8039981,2.068661,0.0,0.37975135,0.0,0.0,0.0,0.0,0.0,0.0,1.9361409,0.2323224,0.0,1,0,0,0,0
